Time,mid_height_jump_1_left_shoulder_angle,mid_height_jump_1_left_shoulder_angle_v,mid_height_jump_1_left_shoulder_angle_a,mid_height_jump_1_left_elbow_angle,mid_height_jump_1_left_elbow_angle_v,mid_height_jump_1_left_elbow_angle_a,mid_height_jump_1_left_wrist_angle,mid_height_jump_1_left_wrist_angle_v,mid_height_jump_1_left_wrist_angle_a,mid_height_jump_1_left_hip_angle,mid_height_jump_1_left_hip_angle_v,mid_height_jump_1_left_hip_angle_a,mid_height_jump_1_left_knee_angle,mid_height_jump_1_left_knee_angle_v,mid_height_jump_1_left_knee_angle_a,mid_height_jump_1_left_ankle_angle,mid_height_jump_1_left_ankle_angle_v,mid_height_jump_1_left_ankle_angle_a,mid_height_jump_1_right_shoulder_angle,mid_height_jump_1_right_shoulder_angle_v,mid_height_jump_1_right_shoulder_angle_a,mid_height_jump_1_right_elbow_angle,mid_height_jump_1_right_elbow_angle_v,mid_height_jump_1_right_elbow_angle_a,mid_height_jump_1_right_wrist_angle,mid_height_jump_1_right_wrist_angle_v,mid_height_jump_1_right_wrist_angle_a,mid_height_jump_1_right_hip_angle,mid_height_jump_1_right_hip_angle_v,mid_height_jump_1_right_hip_angle_a,mid_height_jump_1_right_knee_angle,mid_height_jump_1_right_knee_angle_v,mid_height_jump_1_right_knee_angle_a,mid_height_jump_1_right_ankle_angle,mid_height_jump_1_right_ankle_angle_v,mid_height_jump_1_right_ankle_angle_a,NeckAng,SpineAng,TailAng
2.666667,111.79187775,692.18170166,-18475.45507813,77.2563858,1213.28344727,3012.36328125,145.71633911,1028.44384766,-15052.140625,87.43719482,124.64401245,-10975.90136719,104.82806396,-470.32745361,-24870.38085938,109.40418243,428.76708984,-12258.14257813,108.24406433,8.56933594,-1166.90820313,113.12687683,200.22079468,4990.50830078,151.01564026,-105.08880615,9174.44628906,68.87987518,-135.68618774,6322.89453125,86.77731323,631.11053467,4935.46875,77.54187012,533.05163574,31246.9765625,4.47852980007025,7.50319017300571,5.23277621151176
2.675,117.91399384,561.61627197,-22803.671875,88.30307007,1334.32507324,-10973.12695313,155.63366699,1027.68017578,-31629.49609375,89.10237885,24.91882324,-9768.484375,102.11004639,-718.54663086,-19303.95898438,114.08403015,386.75927734,-21838.484375,108.04026031,-0.68321228,-1252.97119141,114.40424347,236.63635254,5477.72802734,149.83509827,-98.97293091,17099.70703125,67.78127289,-82.44857788,6940.49511719,92.14269257,661.17498779,6366.15332031,81.28702545,830.4576416,25414.6640625,3.67400244418342,6.90079195150078,6.20790180962516
2.683333,122.74253082,389.75311279,-24649.61523438,101.35312653,1136.05480957,-16384.02539063,168.79936218,554.67803955,-35033.265625,89.6170578,-50.48240662,-8981.15136719,95.68180847,-812.41638184,-15522.68066406,119.60962677,160.67474365,-25738.95117188,107.82788086,-8.20533752,-1409.14526367,115.90356445,291.12716675,4735.29736328,148.74908447,112.48291016,11652.8359375,67.23104095,-48.38699341,8606.06347656,96.97840118,731.78344727,5949.06494141,86.93283844,1012.69970703,19815.6484375,3.14158133218933,6.49040647599037,6.83476728789103
2.691667,126.00939178,107.81616211,-25114.00976563,113.32022095,936.3338623,-27556.92773438,178.5039978,251.68319702,-42599.59375,88.28366852,-116.26205444,-6570.07519531,86.03791046,-959.6741333,-4317.16503906,120.10787964,-114.61341858,-29442.74023438,108.1150589,-25.63560486,-1779.93884277,118.52928925,343.11224365,2870.0234375,149.1799469,411.29730225,7342.34277344,67.09663391,37.73445129,9794.94726563,103.30536652,791.40447998,3987.75439453,99.32356262,1170.28857422,6650.79541016,2.66426636048421,5.96150348313404,7.87415492379894
2.7,125.92899323,-162.01553345,-22588.58007813,119.79369354,616.68249512,-30028.7578125,169.00267029,-219.04464722,-32489.24609375,85.49667358,-175.87036133,-3801.33056641,76.21448517,-1008.06286621,7937.09277344,117.59270477,-475.63146973,-24647.23632813,107.99264526,-36.6822052,-2344.60107422,122.69008636,371.43865967,-1698.06750488,149.77116394,438.05953979,-6029.03076172,67.40213013,139.10697937,10755.79589844,110.59449005,848.07019043,-2763.5559082,112.83750916,1228.57458496,-8810.07617188,2.06201141758256,5.32792542012014,8.20939920275326
2.708333,122.32953644,-354.05349731,-15467.3515625,121.30773163,286.4800415,-24154.13671875,164.65647888,-644.44061279,-15389.92285156,83.89770508,-206.39213562,-2261.90722656,67.67477417,-898.98657227,20721.68359375,111.19718933,-747.10583496,-12980.13183594,107.34854889,-57.06825256,-3070.67651367,125.97447205,369.29907227,-8807.81738281,163.31285095,297.03292847,-29350.87695313,68.57557678,249.13230896,10255.59277344,118.73729706,853.64648438,-12791.66113281,123.67036438,1107.3885498,-23664.65429688,1.01772387602257,5.13026727993611,8.68579209989951
2.716667,116.46045685,-443.76495361,-5407.30664063,120.94124603,63.97956848,-14740.1171875,156.15486145,-653.1161499,1484.77392578,83.08524323,-187.40310669,-1665.07067871,60.55352783,-628.06799316,32777.3671875,101.88607788,-788.24737549,2170.17333984,106.84039307,-86.1227417,-4471.97216797,129.83399963,272.171875,-17464.046875,168.77723694,0.35339355,-46399.359375,71.47031403,343.74450684,7991.09033203,125.9941864,712.59509277,-22752.3671875,131.27696228,776.61230469,-36796.13671875,0.142747086605295,5.35232693752197,7.02998145023639
2.725,111.68807983,-429.79467773,2988.12011719,120.00041962,10.0340271,-3061.84277344,150.92202759,-373.03878784,21903.44140625,81.36844635,-168.71192932,-1122.02807617,55.29878616,-235.14315796,39693.1328125,93.35760498,-627.7064209,18572.90039063,105.86396027,-121.27166748,-6801.18701172,130.91859436,80.77857971,-26163.58007813,163.88931274,-597.81616211,-50920.6015625,75.22864532,403.18954468,5415.97363281,133.01496887,408.57629395,-30523.90234375,136.94581604,337.81387329,-45234.8203125,1.11116654566911,5.25615937062953,5.58270326346727
2.733333,108.92370605,-326.16156006,7557.07519531,119.9256897,102.95097351,6249.85595703,147.59288025,-90.4019165,31390.24414063,79.89781952,-198.42025757,-1180.28173828,53.64610291,174.70303345,39935.00390625,86.98052979,-358.83911133,30459.84765625,105.20539856,-177.23854065,-9220.54296875,133.07594299,-200.6237793,-32336.97851563,156.429245,-1253.11901855,-47139.81640625,79.65390778,419.40606689,3112.4609375,136.52680969,48.13903809,-32824.90234375,138.92835999,-100.12573242,-45961.5859375,2.03439211709131,4.67615340416187,4.75329354282882
2.741667,107.42853546,-197.63748169,8329.95800781,120.68488312,248.27064514,10444.79101563,149.18215942,268.09783936,23588.55078125,78.26850128,-235.30830383,-1339.04882813,57.84046173,522.17199707,32032.109375,87.68789673,-38.80592346,33779.109375,103.61125946,-268.58892822,-10698.80566406,129.54234314,-538.78106689,-33408.40234375,139.0393219,-1608.83569336,-29905.61523438,83.03087616,417.85394287,1483.76367188,134.72575378,-272.82891846,-27579.12109375,136.47796631,-502.35290527,-38286.36328125,2.8128073393609,4.29357421857973,5.5103850405404
2.75,106.16352844,-118.05084229,5823.14208984,123.14715576,369.99517822,8308.73144531,153.96975708,556.29089355,9079.30859375,76.54981995,-246.80038452,1129.76538086,66.73075867,787.33966064,17694.046875,90.34786987,304.38735962,28622.12890625,101.33640289,-392.58355713,-10111.66503906,124.66572571,-866.01959229,-29252.86914063,123.61776733,-1772.16992188,-2530.03173828,86.00769806,424.94042969,695.18493652,127.87220764,-496.11679077,-17083.31445313,128.06788635,-829.05059814,-24917.04492188,3.24827756332784,3.90944838521061,5.41563282052448
2.758333,105.77837372,-101.18209839,941.51416016,128.43295288,434.00701904,1456.23608398,160.03451538,552.36743164,-6483.33789063,73.79454041,-243.15422058,6617.35253906,75.29061127,906.91644287,2040.55236816,93.58777618,587.75671387,17076.625,97.63092041,-505.8807373,-7075.63427734,113.70272827,-1121.0703125,-21011.24609375,107.44737244,-1687.61767578,19902.84375,88.74442291,435.9727478,-9.23522949,121.34790039,-576.82562256,-6090.83251953,119.03088379,-1007.12988281,-9296.21875,3.19169541255639,3.61823544052871,5.30441212372017
2.766667,105.33286285,-122.61283875,-4106.51757813,132.95172119,428.31640625,-6586.4609375,168.2938385,288.20236206,-22909.79882813,71.3365097,-192.24868774,13028.55957031,82.87277222,816.29711914,-11292.7578125,98.64846802,698.02648926,877.19189453,92.31349182,-566.00695801,-2493.7722168,102.29795837,-1240.43933105,-10675.9453125,94.00672913,-1281.23120117,33462.83203125,92.84044647,444.46655273,-2020.73120117,116.23438263,-532.36230469,2147.25292969,108.4280777,-991.73364258,6508.08789063,2.70166679565271,3.34568742572575,4.15335423078629
2.775,104.64720917,-178.79127502,-7659.61962891,137.05163574,315.20889282,-14218.45605469,172.99085999,-18.33450317,-31795.49023438,69.64154816,-43.50273132,19240.8515625,89.68166351,577.29528809,-20537.6640625,106.18054962,612.27349854,-16605.17773438,86.19247437,-543.77386475,1880.62402344,90.51199341,-1262.32617188,-513.26599121,82.05548859,-830.81091309,40604.234375,97.4963913,436.25167847,-5246.62402344,113.81809998,-425.05249023,6641.53759766,100.3608551,-813.53479004,20335.16210938,1.8580161103423,3.76987862712426,4.03294808621729
2.783333,102.71405792,-269.92614746,-9822.19433594,138.73634338,137.65975952,-21000.37109375,166.54551697,-343.87954712,-27666.640625,68.9417038,175.2255249,24650.20898438,94.70045471,318.39013672,-23113.2109375,115.22847748,352.04421997,-29133.49609375,81.16867828,-471.89102173,4860.04785156,80.39138031,-1199.54785156,7494.92285156,76.65950775,-483.59863281,36603.8203125,101.46689606,384.89099121,-8144.89306641,111.00572968,-340.66238403,8534.04785156,93.65299988,-560.78393555,30641.20117188,1.16847663596788,3.67027703980201,4.16577664316101
2.791667,100.17300415,-370.41885376,-10595.55175781,139.4342804,-64.87487793,-25888.99804688,159.74325562,-642.65167236,-18428.70898438,71.07718658,426.21963501,26498.56640625,95.96765137,107.29644775,-18333.63867188,118.3629303,-25.9198761,-30898.61132813,77.63874817,-398.89358521,6450.31494141,71.81695557,-1096.46484375,13084.68945313,80.03417206,-207.3651886,23524.03515625,104.35896301,275.46157837,-9529.82324219,108.06454468,-296.93756104,9190.31835938,90.40344238,-254.27268982,37312.4140625,1.35295285458759,3.81865341006656,5.06024174961842
2.8,96.42605591,-467.89099121,-9197.26660156,137.51902771,-303.38659668,-27570.38671875,152.49433899,-741.24053955,-9225.42285156,76.57950592,672.52575684,22369.84375,93.78461456,-36.07223511,-9530.04589844,114.26405334,-398.15252686,-20785.44335938,76.66583252,-359.74655151,7627.83398438,62.48822784,-959.87835693,17536.83398438,80.69293213,-11.04820251,11863.0625,106.17950439,152.40066528,-8638.99609375,105.54392242,-257.84082031,9460.61523438,90.0394516,66.66213989,41121.11328125,2.48296583698698,3.1507069481641,5.35347074470213
2.808333,92.04294586,-554.05279541,-6074.64550781,134.90841675,-557.69073486,-25735.30859375,147.73109436,-649.92919922,-277.44781494,83.60112,897.69158936,13017.4140625,91.48117065,-72.31338501,-449.5413208,105.81044769,-603.75061035,-1487.98181152,74.00379944,-324.24719238,10286.41113281,54.16886139,-807.80981445,20727.109375,79.42555237,-18.96392822,4574.52001953,106.78289032,69.38438416,-5163.78662109,103.19965363,-158.14910889,10401.89550781,91.42946625,439.10467529,42011.6171875,3.58374955520123,3.65532658711483,5.38414358848577
2.816667,87.10507202,-602.36846924,-2633.80981445,129.23410034,-813.54077148,-20654.33398438,142.43579102,-608.24676514,3904.17358398,92.84853363,997.71539307,277.21801758,90.96647644,-7.25059509,7158.34326172,97.01108551,-504.47601318,21484.9765625,70.91210175,-252.22862244,14891.02929688,47.72949219,-622.59295654,21939.33398438,78.08921051,-125.66726685,-1149.10095215,106.3420105,47.59681702,136.78115845,102.08639526,-38.87023926,11690.82910156,96.48737335,823.49865723,37676.5390625,4.78422386134527,3.6574384208123,4.70386622193264
2.825,81.45137024,-590.56103516,801.08978271,121.06189728,-983.74597168,-13397.2578125,137.5871582,-532.22521973,537.73986816,101.3482132,928.37164307,-13745.32128906,91.8108139,116.10389709,12082.54394531,93.46007538,-142.42729187,39754.93359375,66.4502182,-110.04730225,19775.2265625,43.45714569,-396.54605103,21265.83203125,77.26448822,-150.30769348,-4155.45703125,105.8176651,87.21481323,5322.52148438,101.91321564,67.96157837,10807.6796875,103.67594147,1184.32019043,25959.73632813,6.01594183370345,3.62628368081396,3.67793635043271
2.833333,75.77471161,-549.82855225,4319.28808594,110.72727203,-1044.76049805,-5788.95263672,134.33247375,-539.61425781,-5302.04296875,111.8440094,711.90667725,-25722.31054688,94.16171265,253.10455322,13156.71972656,93.71201324,390.03240967,45558.60546875,65.82998657,119.15138245,22162.21289063,41.86803818,-198.36593628,19019.57421875,76.61016846,-132.12127686,-2764.13867188,106.59108734,165.72425842,7926.98046875,104.24970245,162.18536377,6319.02539063,117.11681366,1429.29589844,6676.68408203,7.09320014930024,2.90403324945565,1.76185379387086
2.841667,71.36781311,-507.30322266,6973.72119141,99.51200867,-1016.01983643,227.06420898,127.43013,-609.75958252,-9789.60742188,116.7400589,394.43222046,-31910.30664063,95.78762054,377.89733887,10274.56152344,100.37348938,912.95446777,37565.74609375,68.37930298,364.72229004,19984.44726563,40.9936142,-55.46295166,14737.90429688,74.40805054,-143.70780945,-8.51348877,108.72174072,271.05444336,6710.39697266,105.99861145,229.25689697,87.79846191,131.51473999,1424.53027344,-17645.84570313,8.06739679760132,2.82566825268406,2.53747710067614
2.85,68.29393768,-448.26522827,8460.62109375,92.35505676,-956.75262451,3676.67602539,127.48774719,-772.04150391,-12171.67089844,118.82868195,59.08813477,-31383.52539063,99.37583923,469.24545288,4093.13696289,110.02648163,1237.64794922,19332.08203125,74.16950226,565.99157715,13054.02832031,42.29492188,37.12223053,9413.83203125,73.6918869,-179.61456299,1130.67651367,112.05426025,361.08557129,3172.28295898,108.2062912,211.35681152,-6116.86474609,146.97761536,1145.78771973,-40263.81640625,8.90666013126529,3.22353503478991,2.90180626141369
2.858333,65.13309479,-358.87332153,10466.6640625,85.89170837,-916.89544678,5456.11279297,116.80641937,-914.57391357,-10433.4609375,115.61266327,-232.19276428,-25070.87695313,104.00430298,494.36859131,-4281.81591797,125.15365601,1269.64465332,-4458.65527344,80.89893341,645.06677246,3734.69750977,42.37174225,91.82537079,5187.88476563,72.53718567,-176.35437012,2106.97631836,115.19773865,368.55834961,-1094.27709961,110.15019226,94.39247131,-11536.83398438,156.77760315,611.921875,-51257.03125,9.88262361983395,3.52211147477038,1.80403595403429
2.866667,61.37706375,-265.81451416,13282.80761719,80.17905426,-893.55090332,6330.68554688,111.3494339,-1011.76245117,-6369.8671875,111.17578888,-411.9593811,-15380.66894531,109.78274536,426.02035522,-13228.74804688,138.84463501,1075.79882813,-25461.859375,86.22864532,597.11682129,-5100.44189453,43.51286316,104.70417023,2668.09155273,70.61061859,-114.94285583,4724.30175781,119.30290985,293.70996094,-6171.15771484,111.85895538,-59.26849365,-15054.43164063,158.42156982,-46.14624023,-48582.765625,10.9130536195967,3.51260888011143,0.539510173615935
2.875,58.85136795,-164.78573608,15087.83300781,71.71356201,-851.34509277,8101.09130859,96.38557434,-1023.74816895,-1788.47900391,107.54199219,-486.01074219,-5620.46582031,114.38666534,255.01472473,-20445.6875,147.70822144,712.18640137,-36280.25390625,91.65953064,467.90527344,-11806.09570313,44.3591156,97.4300766,1362.60900879,68.7567749,-74.47029114,8311.93261719,122.17901611,211.02119446,-10187.86523438,110.68126678,-208.99131775,-15246.93261719,154.55427551,-548.77075195,-36507.6953125,11.8697899267659,2.96140495176093,2.93010744538489
2.883333,58.48890305,-12.58293152,15373.95019531,61.95492554,-765.72747803,11667.62890625,89.78800964,-963.29315186,2914.328125,103.11105347,-451.63690186,2251.19677734,115.50513458,12.49710083,-23792.45117188,149.07192993,255.45410156,-36422.28515625,94.65262604,331.84082031,-14887.49414063,45.61778259,102.52628326,943.090271,68.21651459,-7.24876404,11837.07128906,122.8349762,126.49581909,-10469.33789063,106.89774323,-334.42047119,-12591.98632813,143.61154175,-691.71765137,-17438.71875,12.5879300932824,2.71892770037111,4.68952510457848
2.891667,59.18922424,151.99887085,15038.0546875,55.69023514,-669.04919434,15059.921875,81.88948822,-939.44909668,8716.65917969,99.58034515,-373.04779053,7930.21435547,113.81697083,-244.19311523,-22470.99414063,148.68255615,-98.67294312,-29718.91992188,96.57794952,202.58720398,-13952.04296875,46.13314056,118.42639923,1509.02563477,70.20856476,90.30296326,16134.72460938,122.19767761,6.89758301,-8797.33300781,102.37949371,-436.97473145,-9053.06445313,133.01116943,-655.43304443,1352.54541016,12.9659204723869,2.83982641490408,5.75326701419343
2.9,61.07804871,279.57168579,13803.69238281,52.12712479,-509.68234253,16908.16210938,77.95202637,-892.09674072,14967.88867188,95.75262451,-291.37536621,11359.23144531,109.87958527,-445.03930664,-17119.14453125,144.74009705,-278.32717896,-19374.11523438,97.28321075,72.53265381,-10279.91601563,46.76518631,137.03765869,2723.76879883,70.13786316,248.48007202,21355.5078125,122.55155945,-82.38563538,-8670.57910156,98.85945129,-491.27740479,-6259.49121094,129.32672119,-540.90979004,9371.37207031,13.3739237687046,2.99226769286855,5.87125777682431
2.908333,64.53033447,366.51263428,11268.27148438,50.40275574,-329.97241211,18247.45117188,69.69721985,-778.50164795,22010.15429688,94.05146027,-194.88815308,11805.67773438,104.77258301,-555.66101074,-9835.04003906,141.75090027,-316.62384033,-9703.95507813,97.55175018,-18.52386475,-5690.24169922,47.79527283,151.02584839,3894.31469727,72.85879517,455.89575195,24670.54882813,122.15986633,-103.72253418,-9124.88378906,95.63240051,-510.13473511,-4537.84716797,130.78945923,-354.41949463,7847.15039063,13.7934188211469,2.58351221993735,6.39071860079334
2.916667,67.93501282,443.38018799,8089.10546875,46.45603561,-177.31951904,18875.0234375,60.08427048,-523.34130859,28740.67773438,93.71823883,-74.25376892,9899.58007813,99.75300598,-582.94604492,-3119.88867188,138.77426147,-323.11233521,-4323.359375,97.28253937,-42.16636658,-561.27807617,49.98879242,185.31872559,5046.26464844,74.8065033,706.78808594,23647.375,120.26299286,-138.75717163,-9464.3125,91.09706879,-520.41925049,-3687.92333984,128.79844666,-255.92689514,4817.55908203,14.2208691430301,1.71374850318692,7.403354686293
2.925,72.20278931,513.39526367,5334.65087891,45.00709915,-39.67227936,17526.265625,52.69220734,-208.42877197,30803.421875,92.85823822,44.23538208,7104.47265625,94.21934509,-550.09344482,1768.87939453,136.62866211,-331.16424561,-2838.64892578,95.59746552,0.4108429,5035.60058594,51.39577484,242.27398682,6718.91992188,83.54975891,965.2331543,18119.50585938,118.61888885,-254.36965942,-11684.84179688,86.00073242,-558.27758789,-3716.91918945,125.06300354,-323.16412354,483.13934326,14.3136622860308,1.26626794517666,7.79539799514633
2.933333,75.83309174,556.83349609,3142.39697266,44.870121,113.8558197,14378.47460938,55.8103981,130.24508667,27140.74804688,93.85631561,83.67073059,3459.00683594,89.91059875,-506.79956055,4430.81054688,135.30012512,-372.61175537,-3188.15234375,94.96337891,67.67417908,8701.68164063,53.18553543,303.67495728,7996.19335938,93.4015274,1117.89123535,9591.64257813,117.60895538,-374.88708496,-13915.93652344,80.87612915,-603.35821533,-3649.45996094,120.96775818,-403.06390381,-5041.9453125,14.2053994218829,1.54206527636644,7.92247534875766
2.941667,81.24253082,552.95928955,550.61126709,47.99524689,255.28808594,9960.70703125,61.27973557,374.33016968,19993.70507813,95.18268585,62.16522217,-1353.19470215,85.99871826,-465.93634033,4557.06835938,131.20635986,-414.94979858,-3553.67822266,96.23419189,163.32420349,8545.18261719,55.43517685,376.96487427,7226.84863281,105.82352448,1132.43884277,-790.53649902,114.69511414,-508.71582031,-12006.27734375,76.70848083,-642.61053467,-1948.97644043,118.14881134,-410.87112427,-7698.32226563,14.0214901076014,2.13322376044122,8.29387705104206
2.95,86.78483582,543.53808594,-2611.55737305,51.34653473,341.58837891,5095.24316406,69.20381165,449.14199829,11808.70214844,97.37322998,31.26304626,-5942.91162109,83.02094269,-417.64907837,2795.83959961,127.33692932,-442.2555542,-3271.56518555,99.04506683,284.69482422,6216.67382813,59.41464233,464.37637329,4844.83935547,116.28193665,1040.55810547,-9433.859375,108.63825989,-647.50463867,-6497.99414063,71.15900421,-666.331604,1568.73168945,114.75218964,-454.89761353,-7546.52392578,14.0596191138473,2.94661706439931,9.42350943969899
2.958333,91.52632904,524.11254883,-5146.37890625,54.79576111,332.36141968,699.8137207,70.21789551,463.74667358,6120.08496094,96.58747864,-25.36590576,-8395.70019531,79.27846527,-384.97406006,846.28997803,122.10443878,-465.62942505,-2389.27856445,101.80176544,333.01794434,3387.12060547,63.8251152,513.55444336,1954.27636719,122.75868988,899.79492188,-13225.22070313,102.39012909,-705.33843994,-10.62744141,65.3688736,-648.28546143,5475.17138672,111.91761017,-542.94055176,-8167.34423828,14.0594324609953,3.96243743642437,9.78597441092106
2.966667,94.5423584,473.11425781,-6126.28173828,57.1955719,274.81237793,-1927.94116211,71.7233429,457.89251709,5312.59472656,94.93029785,-113.53523254,-9108.32519531,75.91670227,-392.71575928,-837.70782471,118.8815155,-477.50701904,-1916.67749023,104.89717102,307.59979248,-275.00320435,69.07807922,495.35357666,-1192.01599121,128.54533386,729.1361084,-13602.44140625,94.15762329,-642.61419678,6940.0234375,58.41952896,-570.65661621,8809.40429688,107.34564209,-644.67352295,-8263.12207031,13.8949268418139,4.99782218749719,10.0967136834492
